Ty'Son Williams	IND	13.3	64.1	0.4	2.5	20.5	0.1	0	12.5
Qadree Ollison	ATL	12.7	56.8	0.3	3.8	25.9	0.1	0.1	12.4
Jordan Wilkins	TEN	13.1	53.9	0.2	3.8	30.9	0.1	0	12.2
Darrynton Evans	CHI	12.2	54.3	0.3	3.9	27.5	0.1	0.1	12.2
Malcolm Brown	NO	12.8	52.3	0.4	3	23.4	0.1	0.1	12.1
Dwayne Washington	NO	12.7	38.2	0.3	4	33.2	0.2	0	11.7
Derrick Gore	KC	6.2	24.9	0.1	6.3	44.7	0.2	0	11.5
Jake Funk	LAR	9.6	48.3	0.4	2.9	21.8	0.1	0.1	11.5
Andy Janovich	HOU	8.7	17.3	0.1	6.1	45.5	0.2	0	11.5
Larry Rountree III	LAC	15.2	61.7	0.4	1.9	14.9	0.1	0.1	11.4
Trenton Cannon	TEN	7.5	20.1	0.1	5.3	44.5	0.2	0	11.3
Kylin Hill	GB	8.7	34.5	0.1	5.1	37.7	0.1	0	10.9
Corey Clement	BAL	7.7	31.1	0.2	4	31.9	0.2	0	10.3
Andrew Beck	DEN	4.7	18.9	0.2	4.4	32.9	0.2	0	9.4
Mekhi Sargent	JAC	2.2	38.8	0.3	3	18.7	0.1	0.1	9.3
Isiah Pacheco	KC	10.1	41.3	0.3	2.3	15.5	0.1	0.1	9.3
Alec Ingold	MIA	4.3	17.4	0.2	4.4	31.1	0.2	0.1	9.2
Devine Ozigbo	NO	4.8	19.2	0.2	3.8	31.1	0.2	0	9
Trestan Ebner	CHI	7.8	32.7	0.3	2.9	20.9	0.1	0.1	8.8
Giovanni Ricci	CAR	4.5	18.2	0.1	4.1	31.2	0.2	0	8.8
Alex Armah Jr.	WAS	4.8	19	0.2	3.9	27.8	0.2	0	8.7
Ty Johnson	NYJ	5.3	22.3	0.1	3.8	29.6	0.2	0.1	8.6
Jason Cabinda	DET	3.3	10.7	0.1	4.8	31.9	0.2	0	8.4
La'Mical Perine	NYJ	4.3	17.2	0.2	3.9	26.9	0.2	0	8.3
Ryquell Armstead	JAC	5.9	24.6	0.2	3	24.1	0.1	0	8.3
Khari Blasingame	CHI	2.4	9.9	0.1	4.1	30.4	0.2	0	7.8
Michael Burton	KC	5.8	25.1	0.3	2.6	14.5	0.2	0	7.7
Jakob Johnson	LV	4	9.4	0.1	4.4	26.9	0.2	0	7.7
Derek Watt	PIT	2.2	10	0.1	4.3	28.2	0.2	0	7.6
Johnny Stanton IV	CLE	2.2	9.4	0.1	3.8	27.5	0.2	0	7.3
Deon Jackson	IND	8.7	37.4	0.3	1	6.9	0	0.1	6.9
Reggie Gilliam	BUF	0	0	0	4.4	32.6	0.2	0	6.9
Mataeo Durant	PIT	7.4	30.5	0.2	2.1	14	0.1	0	6.8
Nick Bawden	NYJ	0	0	0	4.3	31.6	0.2	0	6.6
Patrick Taylor Jr.	GB	5.3	22.5	0.2	2.1	15.3	0.1	0.1	6.4
Adam Prentice	NO	4.4	18.7	0.1	2	14.7	0.1	0	5.9
Trayveon Williams	CIN	2.9	11.9	0.1	2.8	19.4	0.1	0	5.5
Antonio Williams	NYG	5	21.5	0.2	1.4	10	0.1	0.1	5.1
Godwin Igwebuike	DET	2.3	9.1	0.1	2	15.2	0.1	0	4.5
Jason Huntley	PHI	2.9	12.6	0.1	1.1	7.9	0.1	0.1	3.5
Jaylen Warren	PIT	9	34	0	0	0	0	0	3.4
Gabe Nabers	LAC	4.4	14.1	0.1	1.1	3	0.1	0	3.4
Jake Bargas	MIN	0	2.7	0.1	2.2	4.9	0.1	0	2.9
Josh Hokit	SF	0	2.2	0	0.9	5.3	0	0	1.6
Nate McCrary	BAL	0	0	0	0	0	0	0	0
Jonathan Williams	WAS	0	0	0	0	0	0	0	0
Gerrid Doaks	MIA	0	0	0	0	0	0	0	0
Taiwan Jones	BUF	0	0	0	0	0	0	0	0
John Lovett	MIA	0	0	0	0	0	0	0	0
John Kelly Jr.	CLE	0	0	0	0	0	0	0	0
Darius Bradwell	CAR	0	0	0	0	0	0	0	0
Kenjon Barner	TB	0	0	0	0	0	0	0	0
Spencer Brown	BUF	0	0	0	0	0	0	0	0
Salvon Ahmed	MIA	0	0	0	0	0	0	0	0
Malik Davis	DAL	0	0	0	0	0	0	0	0
